title,company,location,job_type,sector,min_salary,max_salary,avg_salary,salary_raw,date_posted,url,source
Front Desk Officer / Receptionist,Regal Heights Supreme Hall and Suites,Rest Of Nigeria (Ekiti),Full Time,Customer Service & Support,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/front-desk-officer-receptionist-n9pq2k,jobberman
Accountant,Excel and Grace Consulting,Rest Of Nigeria (Cross River),Full Time,"Accounting, Auditing & Finance",400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/accoutant-2k02nd,jobberman
Technical Service Manager,Excel and Grace Consulting,Rest Of Nigeria (Cross River),Full Time,Engineering & Technology,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/technical-service-manager-7jwdrz,jobberman
Business Development Manager,Gabstep NG,Rest Of Nigeria (Nationwide),Full Time,Marketing & Communications,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/business-development-manager-x8pnkm,jobberman
Yoghurt Production Personnel,Braveworld Sages Fetes Limited,Rest Of Nigeria (Kwara),Full Time,Food Services & Catering,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/yoghurt-production-personnel-pgmq6r,jobberman
Medical Equipment Sales Representative,Jobberman Nigeria Recruitment,Rest Of Nigeria (Nationwide),Full Time,Sales,,,,Confidential,,https://www.jobberman.com/listings/medical-equipment-sales-representative-x8pp9v,jobberman
Agronomist,Pavilion MG Farms,Rest Of Nigeria (Edo),Full Time,Farming & Agriculture,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/agronomist-wrpp05,jobberman
Field Marketers,Applewells Solutions and Consulting Services,Rest Of Nigeria,Full Time,Sales,70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/field-marketers-458vw9,jobberman
Graphics Designer / Digital Marketer,Anonymous,Rest Of Nigeria (Delta),Full Time,Marketing & Communications,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/graphics-designer-digital-marketer-9k9vv5,jobberman
Farm Marketer / Sales Representative,Anonymous,Rest Of Nigeria (Delta),Full Time,Sales,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/farm-marketer-sales-representative-vdejjw,jobberman
Finance & Strategy Lead,The Khana Group,Rest Of Nigeria (Nationwide),Full Time,"Accounting, Auditing & Finance",1200000.0,1500000.0,1350000.0,"NGN 1,200,000 - 1,500,000",,https://www.jobberman.com/listings/finance-strategy-lead-j6r97e,jobberman
Strategy & Operations Lead,The Khana Group,Rest Of Nigeria (Nationwide),Full Time,Consulting & Strategy,1500000.0,2000000.0,1750000.0,"NGN 1,500,000 - 2,000,000",,https://www.jobberman.com/listings/strategy-operations-lead-k7gnvz,jobberman
Business Development & Partnerships Lead,The Khana Group,Rest Of Nigeria (Nationwide),Full Time,Management & Business Development,1200000.0,1500000.0,1350000.0,"NGN 1,200,000 - 1,500,000",,https://www.jobberman.com/listings/business-development-partnerships-lead-x829en,jobberman
Data Engineer – Analytics & Data Infrastructure,The Khana Group,Rest Of Nigeria (Nationwide),Full Time,Software & Data,600000.0,900000.0,750000.0,"NGN 600,000 - 900,000",,https://www.jobberman.com/listings/data-engineer-analytics-data-infrastructure-458wqm,jobberman
Senior Full-Stack Developer,The Khana Group,Rest Of Nigeria (Nationwide),Full Time,Software & Data,600000.0,900000.0,750000.0,"NGN 600,000 - 900,000",,https://www.jobberman.com/listings/senior-full-stack-developer-8m5rxn,jobberman
"Frontend Developer – Platform UI, Analytics & Dashboard",The Khana Group,Rest Of Nigeria (Nationwide),Full Time,Software & Data,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/frontend-developer-platform-ui-analytics-dashboard-qz7x86,jobberman
Senior Credit Risk Analyst,Jobberman Nigeria Recruitment,Rest Of Nigeria (Nationwide),Full Time,"Accounting, Auditing & Finance",400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/senior-credit-risk-analyst-0kwxqx,jobberman
Sales & Distribution Executive,New Nature Beauty Cosmetics Ltd,Rest Of Nigeria (Nationwide),Full Time,Sales,,,,Confidential,,https://www.jobberman.com/listings/sales-distribution-executive-vde0pk,jobberman
Head Consumer Banking,Mutual Alliance Mortgage Bank,Rest Of Nigeria (Akwa Ibom),Full Time,Sales,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/group-head-retailconsumer-banking-uyo-akwa-ibom-state-m0p0m9,jobberman
Acquisition Officer,First City Monument Bank,Rest Of Nigeria (Bauchi),Full Time,Management & Business Development,,,,Confidential,,https://www.jobberman.com/listings/acquisition-officer-gm9jmr,jobberman
Poultry Supervisor,Pavilion MG Farms,Rest Of Nigeria (Edo),Full Time,Farming & Agriculture,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/poultry-supervisor-8m5x4n,jobberman
Financial Manager,Ecoclimate Foundation,Rest Of Nigeria (Kaduna),Full Time,"Accounting, Auditing & Finance",,,,Confidential,,https://www.jobberman.com/listings/financial-manager-wr2820,jobberman
Acquisition Officer,Anonymous,Rest Of Nigeria (Kano),Full Time,Management & Business Development,,,,Confidential,,https://www.jobberman.com/listings/acquisition-officer-5px5xp,jobberman
Operations Manager,Excel and Grace Consulting,Rest Of Nigeria (Edo),Full Time,Management & Business Development,900000.0,1200000.0,1050000.0,"NGN 900,000 - 1,200,000",,https://www.jobberman.com/listings/operations-manager-wr2wx4,jobberman
Sales Advisor,White Wall & Lysi,Rest Of Nigeria (Nationwide),Full Time,Sales,,,,Confidential,,https://www.jobberman.com/listings/sales-advisor-rrv705,jobberman
Key Accounts Executive - Oncology,Worldwide Commercial Ventures Limited,Rest Of Nigeria (Nationwide),Full Time,Sales,400000.0,600000.0,500000.0,"NGN 400,000 - 600,000",,https://www.jobberman.com/listings/key-accounts-executive-oncology-z8djk9,jobberman
Account Officer,Excel and Grace Consulting,Rest Of Nigeria (Anambra),Full Time,"Accounting, Auditing & Finance",,,,Confidential,,https://www.jobberman.com/listings/account-officer-n9xjnz,jobberman
Marketing/Field Agent,Excel and Grace Consulting,Rest Of Nigeria (Anambra),Full Time,Marketing & Communications,,,,Confidential,,https://www.jobberman.com/listings/marketingfield-agent-vdepx5,jobberman
Junior Accounting Officer,Georgio Rocks Limited,Rest Of Nigeria (Edo),Full Time,"Accounting, Auditing & Finance",150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/junior-accounting-officer-0kwp46,jobberman
Office & Administrative Coordinator,Avonheli System LTD,Rest Of Nigeria (Osun),Full Time,Admin & Office,150000.0,250000.0,200000.0,"NGN 150,000 - 250,000",,https://www.jobberman.com/listings/office-administrative-coordinator-gmg2j8,jobberman
Head of Digital & Social Media,Network Arewa24 Limited,Rest Of Nigeria (Kano),Full Time,Marketing & Communications,,,,Confidential,,https://www.jobberman.com/listings/head-of-digital-social-media-0k2rw6,jobberman
"Accounts, Finance & Compliance Officer","Pebbles, Marks & Nana Farms Ltd.",Rest Of Nigeria (Plateau),Full Time,"Accounting, Auditing & Finance",,,,Confidential,,https://www.jobberman.com/listings/accounts-finance-officer-d9wp97,jobberman
Procurement Officer,"Pebbles, Marks & Nana Farms Ltd.",Rest Of Nigeria (Plateau),Full Time,Supply Chain & Procurement,,,,Confidential,,https://www.jobberman.com/listings/procurement-officer-8mzw47,jobberman
Internal Audit & Controls Officer,"Pebbles, Marks & Nana Farms Ltd.",Rest Of Nigeria (Plateau),Full Time,"Accounting, Auditing & Finance",,,,Confidential,,https://www.jobberman.com/listings/internal-auditor-controls-officer-9k8qj6,jobberman
Pig Attendant/Pig Unit Worker,"Pebbles, Marks & Nana Farms Ltd.",Rest Of Nigeria (Plateau),Full Time,Farming & Agriculture,,,,Confidential,,https://www.jobberman.com/listings/pig-attendantpig-unit-worker-45dvn5,jobberman
Subject Teacher,Anonymous,Rest Of Nigeria (Ondo),Full Time,"Research, Teaching & Training",70000.0,150000.0,110000.0,"NGN 70,000 - 150,000",,https://www.jobberman.com/listings/subject-teacher-rrqke4,jobberman
